Name,Terminal Name,ID,Latitude,Longitude
"The Guildhall, Guildhall",001044,120,51.51573534,-0.093080779
"Baker Street, Marylebone",001086,121,51.51891348,-0.156166631
"Norton Folgate, Liverpool Street",001068,122,51.52111369,-0.078869751
"St. John Street, Finsbury",000992,123,51.52836014,-0.104724625
"Borough High Street, The Borough",000996,125,51.50069491,-0.094524319
"Museum of London, Barbican",001043,126,51.51782144,-0.096496865
"Wood Street, Guildhall",001063,127,51.51700801,-0.09388536
"Emperor's Gate, South Kensington",001116,128,51.49536226,-0.185296516
"Golden Square, Soho",003451,129,51.5118973,-0.137043852
"Tower Gardens , Tower",001071,130,51.50950627,-0.075459482
"Eversholt Street , Camden Town",001005,131,51.53300545,-0.136792671
"Bethnal Green Road, Shoreditch",000973,132,51.52364804,-0.074754872
"Derry Street, Kensington",003436,133,51.50136494,-0.191462381
"Wapping High Street, Wapping",001039,134,51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",001053,135,51.52326004,-0.104708922
"Queen Victoria Street, St. Paul's",001048,136,51.51196176,-0.097441687
"Green Street, Mayfair",003464,138,51.51227622,-0.157436972
"Lambeth Road, Vauxhall",001078,139,51.49488108,-0.117974901
"Finsbury Square , Moorgate",001056,140,51.52096262,-0.085634242
"Chapel Place, Marylebone",001003,141,51.51530805,-0.147203711
"West Cromwell Road, Earl's Court",001001,142,51.49372451,-0.198286569
"Pont Street, Knightsbridge",001114,143,51.4968865,-0.161203828
"Kennington Cross, Kennington",001093,144,51.48894022,-0.111435796
"Ilchester Place, Kensington",001115,145,51.50074359,-0.202759212
"Vauxhall Bridge , Pimlico",001046,146,51.48836528,-0.129361842
"Portugal Street, Holborn",003456,147,51.51494305,-0.11614642
"Tachbrook Street, Victoria",000965,148,51.49211134,-0.138364847
"Kennington Road Post Office, Oval",001073,149,51.48478899,-0.110683213
"Holy Trinity Brompton, Knightsbridge",001002,150,51.49705603,-0.168917077
"Chepstow Villas, Notting Hill",001120,151,51.51213691,-0.201554966
"Hampton Street, Walworth",001118,152,51.49217002,-0.101536865
"Bayswater Road, Hyde Park",001096,153,51.511933,-0.174411
"Waterloo Station 3, Waterloo",001072,154,51.50379168,-0.11282408
"Lexham Gardens, Kensington",001121,155,51.49586666,-0.191933711
"New Kent Road, The Borough",000966,156,51.49443626,-0.092921165
"Wright's Lane, Kensington",001094,157,51.50039792,-0.193068385
"Trebovir Road, Earl's Court",001113,158,51.49085368,-0.196170309
"Waterloo Place, St. James's",003458,160,51.50663341,-0.131773845
"Guildhouse Street, Victoria",003478,161,51.49234577,-0.141334487
"Southampton Place, Holborn",001123,162,51.51760685,-0.121328408
"Sloane Avenue, Knightsbridge",003461,163,51.4931848,-0.167894973
"Cleveland Gardens, Bayswater",001178,164,51.515607,-0.183118788
"Orsett Terrace, Bayswater",002585,165,51.517932,-0.183716959
"Seville Street, Knightsbridge",001177,166,51.50185512,-0.159237081
"Eccleston Place, Victoria",003465,167,51.49395092,-0.147624377
"Argyll Road, Kensington",003463,168,51.50040123,-0.195455928
"Porchester Place, Paddington",003477,169,51.5147461,-0.1651640000000043
"Hardwick Street, Clerkenwell",001057,170,51.5278427,-0.1080682
"Collingham Gardens, Earl's Court",003459,171,51.4916156,-0.186753859
"Sumner Place, South Kensington",001124,172,51.49121192,-0.173715911
"Waterloo Road, South Bank",001176,173,51.50486,-0.113001
"Worship Street, Shoreditch",000997,175,51.521668,-0.079608554
"Gloucester Terrace, Bayswater",001173,176,51.51791921,-0.188098863
"Ashley Place, Victoria",001122,177,51.49616092,-0.140947636
"Warwick Square, Pimlico",003460,178,51.48985626,-0.141923621
"North Audley Street, Mayfair",001126,180,51.5129118,-0.153645496
"Belgrave Square, Belgravia",003473,181,51.49941247,-0.152317537
"Bell Street , Marylebone",001166,182,51.52202903,-0.165842551
"Riverlight North, Nine Elms",001165,183,51.482362,-0.13612398
"Portland Place, Marylebone",001164,184,51.52071513,-0.14521173
"Alderney Street, Pimlico",001174,185,51.48805753,-0.140741432
"South Wharf Road, Paddington",001167,186,51.51733558,-0.175810943
"Queen's Gate (South), South Kensington",001172,187,51.49247977,-0.178433004
"Claremont Square, Angel",001104,189,51.53166681,-0.109914711
"Rampayne Street, Pimlico",001106,190,51.48997562,-0.132845681
"Hyde Park Corner, Hyde Park",001075,191,51.50311799,-0.153520935
"Wardour Street, Soho",001163,192,51.51251523,-0.133201961
"Bankside Mix, Bankside",000963,193,51.50581776,-0.100186337
"Hop Exchange, The Borough",000960,194,51.50462759,-0.091773776
"Milroy Walk, South Bank",000959,195,51.50724437,-0.106237501
"Union Street, The Borough",000961,196,51.50368837,-0.098497684
"Stamford Street, South Bank",000962,197,51.50556905,-0.111606696
"Great Tower Street, Monument",001080,199,51.51048489,-0.082989638
"LMU Commercial Road, Whitechapel",001105,200,51.51492456,-0.066078037
"Dorset Square, Marylebone",001162,201,51.5225965,-0.161113413
"Leman Street, Aldgate",001102,202,51.51236389,-0.06954201
"West Smithfield Rotunda, Farringdon",001040,203,51.51821864,-0.100791005
"Margery Street, Clerkenwell",003468,204,51.52659961,-0.112432615
"New Road 1 , Whitechapel",001171,206,51.518154,-0.062697
"Grosvenor Crescent, Belgravia",001169,207,51.50135267,-0.153194766
"Mallory Street, Marylebone",001175,208,51.52505151,-0.166304359
"Denyer Street, Knightsbridge",003454,209,51.49358391,-0.165101392
"Hinde Street, Marylebone",003476,210,51.51681444,-0.151926305
"Cadogan Place, Knightsbridge",003469,211,51.49464523,-0.158105512
"Campden Hill Road, Notting Hill",003487,212,51.50658458,-0.199004026
"Wellington Arch, Hyde Park",001109,213,51.50274025,-0.149569201
"Endsleigh Gardens, Euston",001079,214,51.52683806,-0.130504336
"Moorfields, Moorgate",001092,215,51.51906932,-0.088285377
"Old Brompton Road, South Kensington",003479,216,51.49094565,-0.181190899
"Wormwood Street, Liverpool Street",002587,217,51.51615461,-0.082422399
"St. Luke's Church, Chelsea",003486,218,51.48971651,-0.170194408
"Bramham Gardens, Earl's Court",001183,219,51.49016361,-0.19039362
"Chelsea Green, Chelsea",001179,220,51.49066456,-0.166485083
"Horseferry Road, Westminster",001170,221,51.49481649,-0.13045856
"Knightsbridge, Hyde Park",001101,222,51.50275704,-0.155349725
"Rodney Road , Walworth",003481,223,51.49148474,-0.090220911
"Queensway, Kensington Gardens",001150,224,51.51031,-0.18740235
"Notting Hill Gate Station, Notting Hill",001182,225,51.50935342,-0.196422
"Charles II Street, West End",003488,226,51.50844614,-0.131961389
"Great Percy Street, Clerkenwell",003470,227,51.52891573,-0.115480888
"St. James's Square, St. James's",001067,228,51.50742485,-0.134621209
"Whitehall Place, Strand",001151,229,51.50654321,-0.123179697
"Poured Lines, Bankside",001144,230,51.50669284,-0.103137426
"Queen's Gate (Central), South Kensington",001089,231,51.49396755,-0.17873226
"Carey Street, Holborn",001139,232,51.51501025,-0.112753217
"Pall Mall East, West End",001153,233,51.50777049,-0.130699733
"Liverpool Road (N1 Centre), Angel",001081,234,51.53450449,-0.106992706
"Kennington Road, Vauxhall",001154,235,51.49571828,-0.110889274
"Fashion Street, Whitechapel",003483,236,51.51838043,-0.073438925
"Dock Street, Wapping",003467,237,51.5097860151,-0.0681619805156
"Frampton Street, Paddington",001099,238,51.5233534,-0.175116099
"Warren Street Station, Euston",001090,239,51.52443845,-0.138019439
"Colombo Street, Southwark",003472,240,51.50545935,-0.10569204
"Beaumont Street, Marylebone",003482,242,51.52200801,-0.151359288
"Gloucester Street, Pimlico",001103,243,51.49096258,-0.139625122
"Earnshaw Street , Covent Garden",001145,244,51.51611887,-0.128585022
"Grosvenor Road, Pimlico",001140,245,51.4853572,-0.142207481
"Berry Street, Clerkenwell",001159,246,51.52285301,-0.099994052
"St. John's Wood Church, The Regent's Park",001091,247,51.530529,-0.167515
"Triangle Car Park, Hyde Park",001088,248,51.50645179,-0.170279555
"Harper Road, The Borough",001137,249,51.49859784,-0.096191134
"Royal Avenue 1, Chelsea",003440,250,51.489932,-0.162727
"Brushfield Street, Liverpool Street",001161,251,51.518908,-0.079249
"Shoreditch Park, Hoxton",001051,253,51.53404294,-0.086379717
"Chadwell Street, Angel",003471,254,51.53051587,-0.106408455
"Clifton Road, Maida Vale",001147,255,51.52557531,-0.179592915
"Houghton Street, Strand",003484,256,51.51362054,-0.116764211
"Westminster University, Marylebone",001194,257,51.52248185,-0.154907218
"Kensington Gore, Knightsbridge",001193,258,51.50143293,-0.178656971
"Bourne Street, Belgravia",001180,259,51.490959,-0.1532331
