Terminal Name,ID,Number of Docks,Name
002587,217,16,"Wormwood Street, Liverpool Street"
003486,218,20,"St. Luke's Church, Chelsea"
001183,219,29,"Bramham Gardens, Earl's Court"
001179,220,15,"Chelsea Green, Chelsea"
001170,221,16,"Horseferry Road, Westminster"
001101,222,43,"Knightsbridge, Hyde Park"
003481,223,24,"Rodney Road , Walworth"
001150,224,17,"Queensway, Kensington Gardens"
001182,225,30,"Notting Hill Gate Station, Notting Hill"
003488,226,24,"Charles II Street, West End"
003470,227,23,"Great Percy Street, Clerkenwell"
001067,228,40,"St. James's Square, St. James's"
001151,229,46,"Whitehall Place, Strand"
001144,230,31,"Poured Lines, Bankside"
001089,231,31,"Queen's Gate (Central), South Kensington"
001139,232,16,"Carey Street, Holborn"
001153,233,22,"Pall Mall East, West End"
001081,234,24,"Liverpool Road (N1 Centre), Angel"
001154,235,36,"Kennington Road, Vauxhall"
003483,236,30,"Fashion Street, Whitechapel"
003467,237,30,"Dock Street, Wapping"
001099,238,32,"Frampton Street, Paddington"
001090,239,26,"Warren Street Station, Euston"
003472,240,14,"Colombo Street, Southwark"
003482,242,23,"Beaumont Street, Marylebone"
001103,243,25,"Gloucester Street, Pimlico"
001145,244,18,"Earnshaw Street , Covent Garden"
001140,245,29,"Grosvenor Road, Pimlico"
001159,246,41,"Berry Street, Clerkenwell"
001091,247,50,"St. John's Wood Church, The Regent's Park"
001088,248,27,"Triangle Car Park, Hyde Park"
001137,249,42,"Harper Road, The Borough"
003440,250,10,"Royal Avenue 1, Chelsea"
001161,251,34,"Brushfield Street, Liverpool Street"
001051,253,30,"Shoreditch Park, Hoxton"
003471,254,18,"Chadwell Street, Angel"
001147,255,22,"Clifton Road, Maida Vale"
003484,256,15,"Houghton Street, Strand"
001194,257,16,"Westminster University, Marylebone"
001193,258,23,"Kensington Gore, Knightsbridge"
001180,259,16,"Bourne Street, Belgravia"
003489,260,18,"Broadwick Street, Soho"
003491,261,16,"Princes Square, Bayswater"
001095,262,35,"LSBU (Borough Road), Elephant & Castle"
001184,263,21,"St. Mary Axe, Aldgate"
001146,264,20,"Tysoe Street, Clerkenwell"
003490,265,17,"Southwick Street, Paddington"
001204,266,41,"Queen's Gate (North), Kensington"
001155,267,22,"Regency Street, Westminster"
001087,268,29,"Belgrave Road, Victoria"
001209,269,46,"Empire Square, The Borough"
001190,270,31,"Kennington Lane Rail Bridge, Vauxhall"
001136,271,32,"London Zoo,  The Regent's Park"
001133,272,22,"Baylis Road, Waterloo"
001186,273,38,"Belvedere Road 1, South Bank"
001134,274,36,"Warwick Road, Olympia"
001191,275,19,"Barbican Centre, Barbican"
001098,276,24,"Lower Thames Street, Monument"
001143,277,17,"Kensington Church Street, Kensington"
001142,278,27,"Tooley Street, Bermondsey"
003462,280,10,"Royal Avenue 2, Chelsea"
003480,281,18,"Smith Square, Westminster"
001077,282,42,"Royal London Hospital, Whitechapel"
001141,283,16,"Kingsway, Covent Garden"
001117,284,20,"Lambeth North Station, Waterloo"
001187,286,35,"St. John's Wood Road, St. John's Wood"
001156,287,23,"Bedford Way, Bloomsbury"
001138,288,34,"Elizabeth Bridge, Victoria"
003493,289,15,"South Audley Street, Mayfair"
003496,290,20,"St Mary's Hospital, Paddington"
001135,291,32,"Claverton Street, Pimlico"
001206,292,16,"Montpelier Street, Knightsbridge"
001214,293,25,"Kensington Olympia Station, Olympia"
001195,294,16,"St. George's Square, Pimlico"
001216,295,27,"Swan Street, The Borough"
200069,296,18,"Knaresborough Place, Earl's Court"
003498,297,17,"Geraldine Street, Elephant & Castle"
001213,298,21,"Curlew Street, Shad Thames"
001196,299,19,"Vincent Square, Westminster"
001217,300,18,"Serpentine Car Park, Hyde Park"
001152,301,24,"Marylebone Lane, Marylebone"
003492,302,28,"Putney Pier, Wandsworth"
001132,303,34,"Albert Gate, Hyde Park"
003497,306,16,"Rathbone Street, Fitzrovia"
001157,307,24,"Black Lion Gate, Kensington Gardens"
001189,308,20,"Long Lane , Bermondsey"
001192,309,41,"Embankment (Savoy), Strand"
001205,310,19,"Black Prince Road, Vauxhall"
003494,311,24,"Foley Street, Fitzrovia"
001130,312,20,"Grove End Road, St. John's Wood"
003495,313,38,"Wells Street, Fitzrovia"
003485,314,36,"Tyers Gate, Bermondsey"
001199,315,16,"The Tennis Courts, The Regent's Park"
000968,316,21,"Warwick Row, Westminster"
001208,317,32,"Dickens Square, Borough"
001197,318,18,"Sackville Street, Mayfair"
003500,319,21,"Baldwin Street, St. Luke's"
001148,320,26,"Queen Mother Sports Centre, Victoria"
002637,321,24,"Bermondsey Street, Bermondsey"
003502,322,26,"Palissy Street, Shoreditch"
003501,323,24,"Clifton Street, Shoreditch"
001200,324,15,"Ontario Street, Elephant & Castle"
001158,325,18,"St. Martin's Street, West End"
001131,326,26,"Graham Street, Angel"
001128,327,21,"Westbourne Green, Westbourne"
002641,328,22,"New North Road 2, Hoxton"
002636,329,24,"Prince Albert Road, The Regent's Park"
001203,330,34,"Eastbourne Mews, Paddington"
001211,331,30,"Bunhill Row, Moorgate"
001210,332,20,"Nevern Place, Earl's Court"
002633,333,37,"Palace Gardens Terrace, Notting Hill"
002635,334,10,"Concert Hall Approach 1, South Bank"
001207,335,33,"Tavistock Street, Covent Garden"
001212,336,18,"Concert Hall Approach 2, South Bank"
002589,337,16,"Pembridge Villas, Notting Hill"
001202,338,24,"Wellington Street , Strand"
001127,339,25,"Risinghill Street, Angel"
001201,340,16,"Bank of England Museum, Bank"
001160,341,23,"Craven Street, Strand"
001188,343,36,"London Zoo Car Park, The Regent's Park"
001218,345,33,"Flood Street, Chelsea"
001219,347,17,"Lower Marsh, Waterloo"
010627,348,17,"Grosvenor Square, Mayfair"
001221,349,18,"St. George Street, Mayfair"
001231,350,21,"Queen's Gate, Kensington Gardens"
001226,351,28,"Macclesfield Rd, St Lukes"
001224,352,19,"Vauxhall Street, Vauxhall"
010623,353,17,"Greycoat Street , Westminster"
001097,354,37,"Northumberland Avenue, Strand"
002694,355,21,"Clapham Common Station, Clapham Common"
002685,356,15,"South Kensington Station, South Kensington"
002691,357,30,"Howland Street, Fitzrovia"
001229,358,20,"High Holborn , Covent Garden"
002662,359,18,"Butler Place, Westminster"
002666,360,27,"Howick Place, Westminster"
002692,361,55,"Waterloo Station 2, Waterloo"
002686,362,57,"Royal College Street, Camden Town"
003507,364,32,"Store Street, Bloomsbury"
002690,365,47,"City Road, Angel"
001230,366,27,"Millennium Hotel, Mayfair"
002680,367,16,"Harrowby Street, Marylebone"
002681,368,25,"Harriet Street, Knightsbridge"
002670,370,20,"Paddington Green, Paddington"
002639,371,22,"King Edward Walk, Waterloo"
002649,372,24,"Sardinia Street, Holborn"
003499,373,18,"Prince Consort Road, Knightsbridge"
002696,374,36,"Waterloo Station 1, Waterloo"
010632,375,18,"Kensington Town Hall, Kensington"
002683,376,24,"Millbank Tower, Pimlico"
002648,377,15,"Waterloo Bridge, South Bank"
002677,378,42,"Natural History Museum, South Kensington"
002682,379,21,"Turquoise Island, Notting Hill"
003506,380,21,"Stanhope Gate, Mayfair"
002669,381,14,"Charlotte Street, Fitzrovia"
002678,382,15,"Farm Street, Mayfair"
002660,383,18,"Frith Street, Soho"
003505,384,15,"Marloes Road, Kensington"
003504,386,16,"Moor Street, Soho"
002703,387,30,"Fire Brigade Pier, Vauxhall"
001228,388,14,"Southampton Street, Strand"
010621,389,18,"Upper Grosvenor Street, Mayfair"
001223,390,41,"Buxton Street 1, Shoreditch"
002688,391,17,"Clifford Street, Mayfair"
001220,392,21,"Imperial College, Knightsbridge"
002699,393,15,"Snow Hill, Farringdon"
002698,394,18,"Aberdeen Place, St. John's Wood"
002695,395,15,"Cadogan Gardens, Chelsea"
002693,396,16,"Shouldham Street, Marylebone"
001227,397,16,"Devonshire Terrace, Bayswater"
010631,398,30,"Holland Park, Kensington"
002687,399,24,"Brick Lane Market, Shoreditch"
001225,400,27,"George Street, Marylebone"
002701,401,24,"Columbia Road, Shoreditch"
010625,402,15,"Penfold Street, Marylebone"
010630,403,16,"George Place Mews, Marylebone"
001110,404,13,"Palace Gate, Kensington Gardens"
001107,405,15,"Gloucester Road Station, South Kensington"
001129,408,24,"Sun Street, Liverpool Street"
010624,409,41,"Strata, Elephant & Castle"
001058,410,64,"Edgware Road Station, Marylebone"
010629,411,19,"Rotherhithe Roundabout, Rotherhithe"
010628,412,17,"Cleaver Street, Kennington"
022160,419,15,"Chelsea Bridge, Pimlico"
022163,421,45,"Southwark Station 2, Southwark"
022164,423,31,"Eaton Square (South), Belgravia"
022159,424,29,"Ebury Bridge, Pimlico"
022161,426,17,"Vincent Street, Pimlico"
022180,427,43,"Cheapside, Bank"
022179,428,20,"Exhibition Road, Knightsbridge"
022182,430,18,"South Parade, Chelsea"
022183,431,20,"Crinan Street, King's Cross"
022158,432,13,"Exhibition Road Museums 1, South Kensington"
022169,433,33,"Wren Street, Holborn"
022170,435,23,"Kennington Station, Kennington"
022171,436,36,"Red Lion Street, Holborn"
200056,437,27,"Vauxhall Walk, Vauxhall"
200053,439,22,"Killick Street, King's Cross"
200032,440,33,"Kennington Oval, Oval"
200039,441,24,"Sail Street, Vauxhall"
200035,442,24,"Walmer Road, Avondale"
200033,443,30,"Philpot Street, Whitechapel"
200047,444,24,"Bethnal Green Garden, Bethnal Green"
200003,445,28,"Cheshire Street, Bethnal Green"
200042,446,27,"York Hall, Bethnal Green"
200054,447,54,"Jubilee Crescent, Cubitt Town"
022165,448,36,"Fisherman's Walk West, Canary Wharf"
200020,449,35,"Shadwell Station, Shadwell"
200002,450,28,"Jubilee Street, Stepney"
200021,451,16,"Hermitage Court, Wapping"
200049,452,24,"St. Katharine's Way, Tower"
200045,453,24,"Garnet Street, Shadwell"
200046,454,20,"Napier Avenue, Millwall"
200031,455,17,"East Ferry Road, Cubitt Town"
200118,456,33,"Parkway, Camden Town"
200016,457,29,"Castlehaven Road, Camden Town"
200034,458,28,"Wapping Lane, Wapping"
200014,459,17,"Gunmakers Lane, Old Ford"
200123,460,33,"Burdett Road, Mile End"
